,Ingredients,Count
0,CREAM,250
1,SKIM MILK,162
2,LIQUID SUGAR,60
3,WATER,132
4,BROWN SUGAR,28
5,SUGAR,309
6,MILK,115
7,WHEAT FLOUR,75
8,EGG YOLKS,126
9,CORN SYRUP,140
10,EGGS,27
11,BUTTER,71
12,BUTTEROIL,12
13,PECTIN,62
14,SEA SALT,16
15,SOYBEAN OIL,58
16,VANILLA EXTRACT,118
17,GUAR GUM,82
18,SOY LECITHIN,158
19,BAKING POWDER,2
20,BAKING SODA,72
21,SALT,215
22,CARRAGEENAN,63
23,LACTASE,4
24,PEANUTS,31
25,CANOLA OIL,29
26,CORN STARCH,28
27,PEANUT OIL,27
28,COCOA POWDER,24
29,INVERT CANE SUGAR,4
30,MILK FAT,26
31,EGG WHITES,18
32,TAPIOCA STARCH,16
33,BARLEY MALT,5
34,MALTED BARLEY FLOUR,6
35,COCOA,99
36,POTATO,1
37,COCONUT OIL,145
38,CORN SYRUP SOLIDS,3
39,RICE STARCH,1
40,SUNFLOWER OIL,12
41,YEAST EXTRACT,1
42,NATURAL FLAVOR,165
43,MILKFAT,16
44,ENZYMES,3
45,BAKING SODA. CONTAINS MILK,1
46,WHEAT AND SOY,1
47, WATER,1
48,DRIED CANE SYRUP,21
49,BUTTER OIL,9
50,NATURAL FLAVORS,28
51,LOCUST BEAN GUM,1
52,CITRIC ACID,14
53,VANILLA BEAN SEEDS,1
54,LACTIC ACID,11
55,GRAHAM FLOUR,6
56,MOLASSES,35
57,HONEY,15
58,CARAMELIZED SUGAR SYRUP,4
59,CHOCOLATE LIQUOR,18
60,TAPIOCA FLOUR,1
61,PEANUT FLOUR,1
62,PEANUT EXTRACT,1
63,COCOA BUTTER,57
64,ROASTED ALMONDS,5
65,BLACKBERRY JUICE CONCENTRATE,1
66,BANANA PUREE,3
67,NONFAT MILK,8
68,LEMON JUICE CONCENTRATE,23
69,INVERT SUGAR,5
70,SPICES,2
71,CINNAMON,5
72,ALMONDS,16
73,PECANS,7
74,WHISKEY,2
75,DRY MALT EXTRACT,2
76,CARAMEL COLOR,2
77,SOY LECITHIN. MAY CONTAIN OTHER TREE NUTS,1
78,COFFEE EXTRACT,5
79,COCOA PROCESSED WITH ALKALI,45
80,CREAM CHEESE,11
81,MILK PROTEIN CONCENTRATE,7
82,CHERRIES,4
83,FRUIT AND VEGETABLE CONCENTRATES,2
84,COFFEE,13
85,RUM,4
86,CHOCOLATE,62
87,EXPELLER PRESSED SOYBEAN OIL,2
88,SODIUM BICARBONATE,15
89,POWDERED SUGAR,9
90,TAPIOCA SYRUP,4
91,PARTIALLY DEFATTED PEANUT FLOUR,4
92,WALNUTS,2
93,SPICE,4
94,VEGETABLE OIL,6
95,CORN MALTODEXTRIN,1
96,VANILLA BEANS,11
97,PEPPERMINT EXTRACT,2
98,OATS,2
99,PISTACHIOS,2
100,PUMPKIN PUREE,1
101,NUTMEG,3
102,GINGER,1
103,CLOVES,1
104,ANNATTO,24
105,BLUEBERRY PUREE CONCENTRATE,1
106,STRAWBERRIES,8
107,RASPBERRY PUREE,8
108,STRAWBERRY PUREE,1
109,PEANUT BUTTER,1
110,RICE FLOUR,4
111,POTATO FLOUR,1
112,WHEY PROTEIN CONCENTRATE,2
113,CHOCOLATE CHIPS,1
114,ALMOND EXTRACT,1
115,HEAVY CREAM,1
116,CAROB BEAN GUM,44
117,MODIFIED FOOD STARCH,3
118,XANTHAN GUM,3
119,LACTOSE REDUCED SKIM MILK,6
120,SWEETENED CONDENSED SKIM MILK,1
121,MAPLE SYRUP,1
122,CARAMEL FLAVOR,1
123,BOURBON,3
124,GROUND VANILLA BEANS,2
125,CARAMEL ICE CREAM: CREAM,1
126,SWEETENED CONDENSED MILK,13
127,VANILLA EXTRACT. CHOCOLATY COATING: SUGAR,2
128,PALM OIL,26
129,SOY LECITHIN. SALTED CARAMEL SWIRL: CORN SYRUP,1
130,"SOY LECITHIN.
CONTAINS: MILK",4
131,EGG AND SOY INGREDIENTS,5
132,CONE PIECES,1
133,CONDENSED SKIM MILK,2
134,MILK CHOCOLATE,15
135,WHOLE MILK POWDER,14
136,CONDENSED MILK,8
137,BLACK CHERRIES,1
138,CHERRY JUICE CONCENTRATE,3
139,APPLE JUICE,1
140,CANE SUGAR,29
141,CHOCOLATE ICE CREAM: CREAM,2
142,EGG YOLKS. CHOCOLATY COATING: SUGAR,1
143,CORN OIL,1
144,FRUCTOSE,19
145,DARK CHOCOLATE,7
146,SUNFLOWER LECITHIN,16
147,BELGIAN CHOCOLATE,1
148,VITAMIN A PALMITATE,30
149,COCONUT CREAM,5
150,PECTIN. CARAMEL SWIRL: BROWN SUGAR,1
151,COCONUT EXTRACT,3
152,ALMONDS ROASTED IN VEGETABLE OIL,2
153,SAFFLOWER OIL,5
154,TOFFEE,1
155,VANILLA ICE CREAM,1
156,COFFEE ICE CREAM,1
157,VANILLA EXTRACT. CHOCOLATE CHUNKS WITH VEGETABLE OIL: BELGIAN CHOCOLATE,1
158,COTTONSEED OIL,3
159,COCONUT OIL. CONTAINS: MILK,1
160,ULCE DE LECHE ICE CREAM: CREAM,1
161,VANILLA EXTRACT. MILK CHOCOLATE AND VEGETABLE OIL COATING: MILK CHOCOLATE,1
162,COCONUT OIL. CHOCOLATE COOKIE: BLEACHED WHEAT FLOUR,1
163,SOY LECITHIN. CARAMEL SWIRL: SWEETENED CONDENSED MILK,1
164,VANILLA EXTRACT. DARK CHOCOLATE DRIZZLE WITH VEGETABLE OIL: DARK CHOCOLATE,1
165,GREEN TEA,1
166,BLEACHED WHEAT FLOUR,3
167,NONFAT DRY MILK,5
168,MANGO PUREE,2
169,MANGO,1
170,ORANGE JUICE CONCENTRATE,1
171,CARROT JUICE CONCENTRATE,1
172,PUMPKIN JUICE CONCENTRATE,1
173,PEANUT BUTTER FROZEN DESSERT: WATER,1
174,SALT. DARK CHOCOLATE AND VEGETABLE OIL COATING: DARK CHOCOLATE,1
175,SOYBEAN OIL. SALTED FUDGE SWIRL: POWDERED CANE SUGAR,1
